AllowAmbiguousTypes,14
ApplicativeDo,172
Arrows,61
BangPatterns,367
BinaryLiterals,116
ConstrainedClassMethods,34
ConstraintKinds,129
CPP,26
DataKinds,189
DefaultSignatures,103
DeriveAnyClass,111
DeriveDataTypeable,175
DeriveFoldable,276
DeriveFunctor,337
DeriveGeneric,336
DeriveLift,107
DeriveTraversable,243
DisambiguateRecordFields,59
DuplicateRecordFields,87
EmptyCase,110
EmptyDataDecls,156
ExistentialQuantification,120
ExplicitForAll,130
ExplicitNamespaces,24
FlexibleContexts,244
FlexibleInstances,243
FunctionalDependencies,148
GADTs,359
GADTSyntax,113
GeneralizedNewtypeDeriving,268
ImplicitParams,12
ImpredicativeTypes,2
IncoherentInstances,2
InstanceSigs,119
KindSignatures,179
LambdaCase,331
LiberalTypeSynonyms,37
MagicHash,41
MonadComprehensions,51
MonadFailDesugaring,21
MonoLocalBinds,12
MultiParamTypeClasses,255
MultiWayIf,146
NamedFieldPuns,110
NamedWildCards,44
NegativeLiterals,47
NoImplicitPrelude,104
NoMonomorphismRestriction,91
NoTraditionalRecordSyntax,2
NPlusKPatterns,13
NullaryTypeClasses,30
NumDecimals,25
OverlappingInstances,15
OverloadedLabels,38
OverloadedLists,107
OverloadedStrings,512
PackageImports,44
ParallelListComp,42
PartialTypeSignatures,59
PatternSynonyms,124
PolyKinds,88
PostfixOperators,16
QuasiQuotes,58
Rank2Types,81
RankNTypes,276
RebindableSyntax,16
RecordWildCards,169
RecursiveDo,63
RoleAnnotations,17
ScopedTypeVariables,317
StandaloneDeriving,154
StaticPointers,9
Strict,13
StrictData,22
TemplateHaskell,71
TemplateHaskellQuotes,16
TransformListComp,8
TupleSections,243
TypeApplications,122
TypeFamilies,217
TypeFamilyDependencies,53
TypeInType,44
TypeOperators,168
TypeSynonymInstances,48
UnboxedTuples,38
UndecidableInstances,14
UndecidableSuperClasses,6
UnicodeSyntax,84
ViewPatterns,191
